,b0,b1,r2,coeff,intercept,class
48,411.79,733.27,0.7697078843808554,-2.4850538002347147,325.9726942720722,4
49,577.74,678.51,0.7723580938612373,-170.17642385125154,461.7547926779798,2
50,605.27,678.51,0.8113243963883108,-318.55721957238643,602.1068111878079,5
51,411.79,833.29,0.7860139563645926,-2.560514541254403,354.0412653169452,0
52,411.79,733.27,0.8021485911909528,-2.4374133398331908,319.9745796272662,4
53,411.79,733.27,0.7762401216012002,-2.444368653696225,320.584183235836,4
54,411.79,769.7,0.819336395319525,-2.44395370735784,338.72177450795755,4
55,577.74,678.51,0.7850147212960185,-175.4165283239585,471.085861248618,2
56,577.74,669.37,0.7426053538065782,-173.23489046422128,462.0647417390006,2
57,568.56,669.37,0.7831667237568334,-140.4055237693084,433.21824638428,2
58,411.79,733.27,0.7732660883693772,-2.3906672738124883,316.3118895349754,4
59,411.79,733.27,0.7669974224810617,-2.378086616712522,313.15573195586205,4
60,411.79,833.29,0.7972934591066074,-2.4854621570944424,343.9900285316028,0
61,577.74,678.51,0.7617432908635782,-173.4655253251135,468.70883820726647,2
62,577.74,678.51,0.7789269291109964,-176.13767349443043,472.4779447407142,2
63,411.79,733.27,0.81229517907197,-2.3756019199932394,315.06148053456207,4
64,411.79,733.27,0.7808077259879092,-2.3401869716264425,314.4225295267336,4
65,411.79,733.27,0.7700115045441528,-2.372243193163665,312.3736784595583,4
66,411.79,733.27,0.7920478854914571,-2.405186449011196,316.7864087336447,4
67,411.79,733.27,0.7914660186568124,-2.401272819723033,315.7116600027704,4
68,411.79,833.29,0.801593673900072,-2.61936680899062,358.3231674724564,0
69,411.79,733.27,0.7874759126371667,-2.450069901662052,323.00367785825665,4
70,577.74,678.51,0.7932954971485179,-171.32850182947607,460.47009305623897,2
71,577.74,678.51,0.8025690284941298,-172.4972752481368,467.06048288273166,2
72,411.79,733.27,0.7635738551703222,-2.3435576833025538,316.4483212822811,4
73,577.74,678.51,0.8108369483673105,-170.7175458375041,461.3088651312354,2
74,411.79,733.27,0.7670456837975803,-2.361778120733215,313.80219382438213,4
75,577.74,678.51,0.7695968486063404,-163.7540971164354,448.4153208766368,2
76,411.79,769.7,0.8064611168599347,-2.5085738448215897,345.0223335546963,4
77,577.74,678.51,0.7961266673764626,-160.99293550216098,445.447530948547,2
78,577.74,678.51,0.8074552185390307,-168.41655000241315,456.9111481699953,2
79,411.79,733.27,0.8058663042604263,-2.488303712613919,323.8478221779524,4
80,411.79,733.27,0.806555865780697,-2.3128943029144944,309.21204812613894,4
81,411.79,733.27,0.8065062497133825,-2.4626298030463385,324.6003401444261,4
82,411.79,769.7,0.8247882722196704,-2.5020331182899938,342.9632297541736,4
83,577.74,678.51,0.816795851240091,-169.1802818596359,460.76143086958086,2
84,411.79,769.7,0.792597824463621,-2.361726377038043,336.1946242716582,4
85,577.74,669.37,0.8011116336216811,-177.11799756616682,465.1893019832795,2
86,577.74,678.51,0.7914941414248838,-167.3653588080722,454.6685811926122,2
87,411.79,769.7,0.8096857022467636,-2.4627153005646845,343.614919669372,4
88,577.74,678.51,0.7717123272538432,-172.7420713191926,463.15283524178506,2
89,577.74,678.51,0.8017386952671234,-170.8664619886224,461.4527348926505,2
